,County,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
122,"Madison County, Florida",19187,34361,18518,31816
123,"Manatee County, Florida",324834,47910,363542,53408
124,"Marion County, Florida",331987,39770,343778,41964
125,"Martin County, Florida",146497,50573,155719,55588
126,"Miami-Dade County, Florida",2512219,43464,2702602,46338
127,"Monroe County, Florida",73475,53418,76745,63030
128,"Nassau County, Florida",73303,57163,78435,64294
129,"Okaloosa County, Florida",183400,54118,197591,59955
130,"Okeechobee County, Florida",39779,34289,40228,39059
131,"Orange County, Florida",1153795,48429,1290216,51586
132,"Osceola County, Florida",272355,44887,325168,47343
133,"Palm Beach County, Florida",1324085,52806,1426772,57256
134,"Pasco County, Florida",465276,43787,498136,48289
135,"Pinellas County, Florida",917389,46051,949842,48968
136,"Polk County, Florida",604562,43606,652256,45988
137,"Putnam County, Florida",74224,34429,72435,33619
138,"St. Johns County, Florida",191495,64346,226578,73640
139,"St. Lucie County, Florida",278246,43923,298763,47132
140,"Santa Rosa County, Florida",153086,57491,166778,62731
141,"Sarasota County, Florida",380479,48900,404839,55236
142,"Seminole County, Florida",423389,58577,449260,60739
143,"Sumter County, Florida",94240,46981,116754,54771
144,"Suwannee County, Florida",42287,36159,43814,40600
145,"Taylor County, Florida",22561,34634,22350,37188
146,"Union County, Florida",15400,43750,15300,37460
147,"Volusia County, Florida",495581,43419,518660,43838
148,"Wakulla County, Florida",30449,53385,31586,57866
149,"Walton County, Florida",55349,44254,63457,50619
150,"Washington County, Florida",24732,38536,24472,36989
151,"Appling County, Georgia",18279,35875,18471,37089
152,"Atkinson County, Georgia",8355,28682,8313,33063
153,"Bacon County, Georgia",11124,33557,11279,38824
154,"Baker County, Georgia",3483,24219,3251,43867
155,"Baldwin County, Georgia",46378,35278,45527,37008
156,"Banks County, Georgia",18250,40162,18363,42182
157,"Barrow County, Georgia",69136,51202,75099,56119
158,"Bartow County, Georgia",99872,49543,102623,52393
159,"Ben Hill County, Georgia",17612,29162,17272,32344
160,"Berrien County, Georgia",19131,31506,19014,38297
161,"Bibb County, Georgia",155560,37920,153923,38183
162,"Bleckley County, Georgia",13009,37853,12779,40688
163,"Brantley County, Georgia",18279,37374,18411,36812
164,"Brooks County, Georgia",16066,35284,15629,34890
165,"Bryan County, Georgia",30616,63818,34883,68589
166,"Bulloch County, Georgia",70360,34403,73742,39305
167,"Burke County, Georgia",23242,31597,22645,38707
168,"Butts County, Georgia",23671,50722,23556,39655
169,"Calhoun County, Georgia",6581,30042,6503,29617
170,"Camden County, Georgia",50435,54155,52252,53687
171,"Candler County, Georgia",11007,35833,10894,33125
172,"Carroll County, Georgia",110750,46704,114898,46844
173,"Catoosa County, Georgia",64226,46143,65870,54537
174,"Charlton County, Georgia",12954,39511,12963,43257
175,"Chatham County, Georgia",266344,45653,285506,52215
176,"Chattahoochee County, Georgia",11917,48684,11096,46096
177,"Chattooga County, Georgia",25905,32825,24880,35718
178,"Cherokee County, Georgia",215014,67928,235896,75477
179,"Clarke County, Georgia",117762,33846,123554,34557
180,"Clay County, Georgia",3174,22582,3024,23315
181,"Clayton County, Georgia",262066,42569,274150,44106
182,"Clinch County, Georgia",6800,33967,6788,21838
183,"Cobb County, Georgia",691820,65180,739072,72004
184,"Coffee County, Georgia",42566,35583,43048,36572
185,"Colquitt County, Georgia",45531,33186,45890,34503
186,"Columbia County, Georgia",124665,67295,143723,74162
187,"Cook County, Georgia",17073,35983,17190,35539
188,"Coweta County, Georgia",127212,60675,138015,67570
189,"Crawford County, Georgia",12701,39403,12385,41032
190,"Crisp County, Georgia",23460,32320,23005,33194
191,"Dade County, Georgia",16598,41677,16282,43163
192,"Dawson County, Georgia",22246,53289,23397,62284
193,"Decatur County, Georgia",27815,30061,27023,36934
194,"DeKalb County, Georgia",694671,51252,736066,55876
195,"Dodge County, Georgia",21509,36042,21063,35290
196,"Dooly County, Georgia",14528,30789,14053,33389
197,"Dougherty County, Georgia",94591,31789,91522,34541
198,"Douglas County, Georgia",132124,54526,140152,59333
199,"Early County, Georgia",10928,29772,10405,29493
200,"Echols County, Georgia",4024,27933,4011,34315
201,"Effingham County, Georgia",52203,62953,57087,64279
202,"Elbert County, Georgia",20103,35053,19288,35207
203,"Emanuel County, Georgia",22600,31675,22502,33089
204,"Evans County, Georgia",10935,36602,10757,38736
205,"Fannin County, Georgia",23554,35446,24480,43344
206,"Fayette County, Georgia",106525,81242,110306,84861
207,"Floyd County, Georgia",96204,41442,96471,46096
208,"Forsyth County, Georgia",177103,87585,211300,96445
209,"Franklin County, Georgia",22070,32179,22328,39246
210,"Fulton County, Georgia",929535,57664,1010420,61336
211,"Gilmer County, Georgia",28232,37257,29614,46211
212,"Glascock County, Georgia",3082,32346,3027,45273
213,"Glynn County, Georgia",79628,49986,83467,47546
214,"Gordon County, Georgia",55192,40661,56424,43452
215,"Grady County, Georgia",25068,32206,25048,39462
216,"Greene County, Georgia",15988,40728,16732,45069
217,"Gwinnett County, Georgia",810624,61944,889954,64496
218,"Habersham County, Georgia",43038,41894,43878,44474
219,"Hall County, Georgia",180831,52174,192865,55622
220,"Hancock County, Georgia",9422,22716,8667,29268
221,"Haralson County, Georgia",28627,39227,28722,43663
222,"Harris County, Georgia",31870,68816,33198,69539
223,"Hart County, Georgia",25277,35647,25535,41216
224,"Heard County, Georgia",11756,39947,11607,44897
225,"Henry County, Georgia",203185,62377,217506,64752
226,"Houston County, Georgia",140699,56265,150341,55965
227,"Irwin County, Georgia",9646,38770,9278,34677
228,"Jackson County, Georgia",60268,53393,63851,57999
229,"Jasper County, Georgia",13786,43768,13732,42067
230,"Jeff Davis County, Georgia",14972,35203,14999,37267
231,"Jefferson County, Georgia",16817,27612,15954,29640
232,"Jenkins County, Georgia",8477,27039,8929,27197
233,"Johnson County, Georgia",9981,34521,9800,36423
234,"Jones County, Georgia",28638,53085,28540,55110
235,"Lamar County, Georgia",18151,39224,18282,41157
236,"Lanier County, Georgia",10066,41867,10388,31109
237,"Laurens County, Georgia",48264,35912,47451,35202
238,"Lee County, Georgia",28449,58400,29216,65018
239,"Liberty County, Georgia",64663,44295,62120,43493
240,"Lincoln County, Georgia",7962,34347,7768,37711
241,"Long County, Georgia",14488,40044,17857,53083
242,"Lowndes County, Georgia",109730,38348,113941,39911
243,"Lumpkin County, Georgia",30040,44595,31567,43039
244,"McDuffie County, Georgia",21762,38855,21488,40469
245,"McIntosh County, Georgia",14119,39506,14061,43285
246,"Macon County, Georgia",14552,30906,13675,30851
247,"Madison County, Georgia",27988,41404,28600,47653
248,"Marion County, Georgia",8615,33875,8558,39015
249,"Meriwether County, Georgia",21966,37660,21152,36368
250,"Miller County, Georgia",6094,32432,5884,37255
251,"Mitchell County, Georgia",23510,32838,22574,34122
252,"Monroe County, Georgia",26376,47323,26795,50666
253,"Montgomery County, Georgia",9054,33569,8962,40308
254,"Morgan County, Georgia",17919,44908,18013,59572
255,"Murray County, Georgia",39635,36928,39444,41617
256,"Muscogee County, Georgia",191278,41443,198647,43239
257,"Newton County, Georgia",100047,51336,105042,52784
258,"Oconee County, Georgia",32814,77571,35972,77388
259,"Oglethorpe County, Georgia",14745,42428,14654,43938
260,"Paulding County, Georgia",141846,63190,152399,63669
261,"Peach County, Georgia",27531,41488,27027,43645
262,"Pickens County, Georgia",29445,50829,30343,61542
263,"Pierce County, Georgia",18631,39326,19141,39863
264,"Pike County, Georgia",17765,56658,17919,52377
265,"Polk County, Georgia",41350,38861,41444,40652
266,"Pulaski County, Georgia",11801,34659,11396,38750
267,"Putnam County, Georgia",21184,40115,21430,48340
268,"Quitman County, Georgia",2542,32750,2140,26750
269,"Rabun County, Georgia",16297,32995,16354,39297
270,"Randolph County, Georgia",7596,32688,7206,30640
271,"Richmond County, Georgia",200337,38952,201568,39430
272,"Rockdale County, Georgia",85008,54704,88482,54175
273,"Schley County, Georgia",4963,40612,5168,41267
274,"Screven County, Georgia",14574,34634,14037,36556
275,"Seminole County, Georgia",8815,28909,8549,33999
276,"Spalding County, Georgia",63979,40655,64192,42398
277,"Stephens County, Georgia",26003,37535,25625,39756
278,"Stewart County, Georgia",5991,28222,5832,22413
279,"Sumter County, Georgia",32425,33528,30687,34219
280,"Talbot County, Georgia",6772,26750,6423,37226
281,"Taliaferro County, Georgia",1674,24390,1844,30500
282,"Tattnall County, Georgia",25023,36520,25402,36355
283,"Taylor County, Georgia",8700,28402,8267,29875
284,"Telfair County, Georgia",16312,24469,16339,28044
285,"Terrell County, Georgia",9365,32855,8978,32219
286,"Thomas County, Georgia",44715,31471,44909,41336
287,"Tift County, Georgia",40430,37033,40531,38728
288,"Toombs County, Georgia",27270,31757,27160,35750
289,"Marion County, Alabama",30641,31970,30058,35719
290,"Marshall County, Alabama",93070,38649,94738,41104
291,"Mobile County, Alabama",412297,42973,414328,45802
292,"Monroe County, Alabama",22993,30996,21745,26036
293,"Montgomery County, Alabama",229376,44401,227120,46545
294,"Morgan County, Alabama",119330,45852,119157,47529
295,"Perry County, Alabama",10525,31008,9680,22973
296,"Pickens County, Alabama",19646,28762,20170,36220
297,"Pike County, Alabama",32750,31702,33287,35684
298,"Randolph County, Alabama",22843,35074,22530,39485
299,"Russell County, Alabama",53938,33591,58480,38988
300,"St. Clair County, Alabama",83530,49652,86937,53483
301,"Shelby County, Alabama",195237,69379,208721,74063
302,"Sumter County, Alabama",13669,22655,13084,21663
303,"Talladega County, Alabama",82194,35209,80888,39219
304,"Tallapoosa County, Alabama",41534,38611,40756,42181
305,"Tuscaloosa County, Alabama",194254,43996,204424,50513
306,"Walker County, Alabama",67016,37408,64927,38872
307,"Washington County, Alabama",17407,42256,16746,42185
308,"Wilcox County, Alabama",11706,24212,10919,27012
309,"Winston County, Alabama",24432,32830,23968,35362
310,"Aleutians East Borough, Alaska",3114,58125,3338,66607
311,"Aleutians West Census Area, Alaska",5507,77292,5784,85192
312,"Anchorage Municipality, Alaska",291470,76495,298225,82271
313,"Bethel Census Area, Alaska",17184,52349,17957,53853
314,"Bristol Bay Borough, Alaska",929,79931,917,79500
315,"Denali Borough, Alaska",1917,74044,2303,83295
316,"Dillingham Census Area, Alaska",4887,56857,4974,58708
317,"Fairbanks North Star Borough, Alaska",97523,69485,100031,76250
318,"Haines Borough, Alaska",2500,50208,2537,70640
319,"Hoonah-Angoon Census Area, Alaska",2153,48942,2146,57900
320,"Juneau City and Borough, Alaska",31636,78947,32434,90749
321,"Kenai Peninsula Borough, Alaska",55474,59421,57961,65279
322,"Ketchikan Gateway Borough, Alaska",13525,59736,13745,67321
323,"Kodiak Island Borough, Alaska",13710,70976,13773,74167
324,"Lake and Peninsula Borough, Alaska",1551,49808,1301,45208
325,"Matanuska-Susitna Borough, Alaska",89319,70728,101135,74887
326,"Nome Census Area, Alaska",9580,51472,9869,53821
327,"North Slope Borough, Alaska",9317,76679,9757,77266
328,"Northwest Arctic Borough, Alaska",7601,60870,7715,61533
329,"Prince of Wales-Hyder Census Area, Alaska",5603,45774,6473,52114
330,"Sitka City and Borough, Alaska",8909,66895,8810,70765
331,"Skagway Municipality, Alaska",1050,71583,1038,70673
332,"Southeast Fairbanks Census Area, Alaska",7039,62712,6889,63866
333,"Valdez-Cordova Census Area, Alaska",9614,67421,9439,86019
334,"Wrangell City and Borough, Alaska",2368,47348,2475,56094
335,"Yakutat City and Borough, Alaska",644,71705,682,64583
336,"Yukon-Koyukuk Census Area, Alaska",5637,35559,5453,37819
337,"Apache County, Arizona",71618,31615,71602,32360
338,"Cochise County, Arizona",131118,45505,126516,47847
339,"Coconino County, Arizona",134011,48320,138639,53523
340,"Gila County, Arizona",53436,38504,53145,41179
341,"Graham County, Arizona",37115,44421,37700,48173
342,"Greenlee County, Arizona",8592,49692,9368,56298
343,"La Paz County, Arizona",20460,35093,20477,36479
344,"Maricopa County, Arizona",3841819,54385,4155501,58580
345,"Mohave County, Arizona",201216,39383,204691,41567
346,"Navajo County, Arizona",107415,37683,107902,38798
347,"Pima County, Arizona",981048,46443,1007257,48676
348,"Pinal County, Arizona",368374,50164,405537,52628
349,"Santa Cruz County, Arizona",47057,37692,46358,39630
350,"Yavapai County, Arizona",211280,43652,220972,48259
351,"Yuma County, Arizona",196420,41156,204281,43253
352,"Arkansas County, Arkansas",19029,39883,18352,38532
353,"Ashley County, Arkansas",21811,38069,20771,36407
354,"Baxter County, Arkansas",41387,35209,41093,40072
355,"Benton County, Arkansas",222028,53515,251823,61271
356,"Boone County, Arkansas",37032,38364,37212,40727
357,"Bradley County, Arkansas",11510,32321,10994,36310
358,"Calhoun County, Arkansas",5373,31425,5194,37225
359,"Carroll County, Arkansas",27321,35558,27782,39686
360,"Chicot County, Arkansas",11759,25188,11008,32412
361,"Clark County, Arkansas",23050,32393,22495,37144
362,"Clay County, Arkansas",15981,32695,15190,32219
363,"Cleburne County, Arkansas",25849,39410,25361,42312
364,"Cleveland County, Arkansas",8685,38060,8332,44840
365,"Columbia County, Arkansas",24644,34895,23992,37072
366,"Conway County, Arkansas",21203,32625,20954,39638
367,"Craighead County, Arkansas",96709,41054,104246,45672
368,"Crawford County, Arkansas",61670,39981,62119,43504
369,"Crittenden County, Arkansas",50618,36521,49278,38558
370,"Cross County, Arkansas",17891,39665,17164,41081
371,"Dallas County, Arkansas",8122,30309,7585,35794
372,"Desha County, Arkansas",12922,29504,12094,27036
373,"Drew County, Arkansas",18615,32087,18620,36092
374,"Faulkner County, Arkansas",113730,49008,121282,50316
375,"Franklin County, Arkansas",18110,35918,17803,39472
376,"Fulton County, Arkansas",12301,35059,12092,36051
377,"Garland County, Arkansas",96249,38680,97994,41672
378,"Grant County, Arkansas",17852,49063,18076,49968
379,"Greene County, Arkansas",42224,38481,44197,45566
380,"Hempstead County, Arkansas",22548,31193,22154,38701
381,"Hot Spring County, Arkansas",33011,39652,33480,40626
382,"Howard County, Arkansas",13790,35236,13472,34851
383,"Independence County, Arkansas",36572,34374,37097,39945
384,"Izard County, Arkansas",13614,31011,13521,39135
385,"Jackson County, Arkansas",17885,31692,17429,32783
386,"Jefferson County, Arkansas",76836,37561,71373,37630
387,"Johnson County, Arkansas",25554,32198,26155,35758
388,"Lafayette County, Arkansas",7618,28633,7051,32500
389,"Lawrence County, Arkansas",17314,32205,16777,37603
390,"Lee County, Arkansas",10430,26098,9614,27901
391,"Lincoln County, Arkansas",14167,34107,13885,38873
392,"Little River County, Arkansas",13068,39042,12494,36963
393,"Logan County, Arkansas",22352,37237,21802,37982
394,"Lonoke County, Arkansas",68274,51499,71568,57290
395,"Madison County, Arkansas",15674,33481,15907,42894
396,"Marion County, Arkansas",16712,33497,16374,36113
397,"Miller County, Arkansas",43449,40314,43760,41862
398,"Mississippi County, Arkansas",46388,35651,43534,36417
399,"Monroe County, Arkansas",8145,28075,7420,31584
400,"Montgomery County, Arkansas",9453,33240,9059,35252
401,"Nevada County, Arkansas",9003,35578,8528,36995
402,"Newton County, Arkansas",8286,27790,7898,38134
403,"Ouachita County, Arkansas",25894,32032,24378,32136
404,"Perry County, Arkansas",10413,42738,10320,46168
405,"Phillips County, Arkansas",21646,27219,19518,26652
406,"Pike County, Arkansas",11261,32087,10893,36893
407,"Poinsett County, Arkansas",24506,31743,24098,37487
408,"Polk County, Arkansas",20535,33479,20212,33870
409,"Pope County, Arkansas",61853,40948,63372,40668
410,"Prairie County, Arkansas",8659,35806,8309,41244
411,"Pulaski County, Arkansas",383185,46102,392848,48850
412,"Randolph County, Arkansas",17992,32539,17514,35930
413,"St. Francis County, Arkansas",28089,30104,26688,33102
414,"Saline County, Arkansas",107498,53817,116252,58985
415,"Scott County, Arkansas",11170,38130,10584,37396
416,"Searcy County, Arkansas",8146,30301,7925,36716
417,"Sebastian County, Arkansas",125795,40247,127362,40932
418,"Sevier County, Arkansas",16978,32081,17206,43675
419,"Sharp County, Arkansas",17278,30240,17041,31792
420,"Stone County, Arkansas",12480,32834,12443,33091
421,"Union County, Arkansas",41594,39349,40022,41106
422,"Van Buren County, Arkansas",17223,33900,16751,34428
423,"Washington County, Arkansas",204057,41429,223683,47452
424,"White County, Arkansas",77007,41410,78706,44074
425,"Woodruff County, Arkansas",7262,28061,6763,30097
426,"Yell County, Arkansas",22033,38245,21601,39696
427,"Alameda County, California",1515136,71516,1629615,85743
428,"Alpine County, California",1197,59931,1203,63438
