,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
106,"Huntsville, AL Metro Area",417974,55614,444908,59583
107,"Huntsville, TX Micro Area",67447,38654,85299,40578
108,"Huron, SD Micro Area",17372,43778,18163,48995
109,"Hutchinson, KS Micro Area",64346,43649,63360,47897
110,"Hutchinson, MN Micro Area",36527,55275,35816,59869
111,"Idaho Falls, ID Metro Area",130117,51614,140427,54663
112,"Indiana, PA Micro Area",88648,43408,86551,46306
113,"Indianola, MS Micro Area",29230,26611,26915,28556
114,"Iowa City, IA Metro Area",153392,53756,166520,59800
115,"Iron Mountain, MI-WI Micro Area",30772,44341,30048,45946
116,"Ithaca, NY Metro Area",101570,50539,104415,56200
117,"Jackson, MI Metro Area",160257,46572,158989,49715
118,"Jackson, MS Metro Area",540752,45976,578565,49381
119,"Jackson, TN Metro Area",115019,42311,129538,43552
120,"Jackson, WY-ID Micro Area",31333,63106,33699,74756
121,"Jacksonville, FL Metro Area",1349130,52881,1447884,56449
122,"Jacksonville, IL Micro Area",40866,47171,39551,49306
123,"Jacksonville, NC Metro Area",176461,45812,192685,48162
124,"Jacksonville, TX Micro Area",50690,37508,51594,44294
125,"Jamestown, ND Micro Area",20965,48678,21058,56088
126,"Jamestown-Dunkirk-Fredonia, NY Micro Area",134599,41975,130846,44304
127,"Jasper, IN Micro Area",54844,50967,54850,55138
128,"Jayuya, PR Micro Area",16600,17137,15297,15615
129,"Jefferson City, MO Metro Area",149414,52437,151056,53680
130,"Jennings, LA Micro Area",31529,41777,31405,40744
131,"Jesup, GA Micro Area",30157,36496,29833,41534
132,"Johnson City, TN Metro Area",198658,39098,200767,40429
133,"Johnstown, PA Metro Area",143305,41668,135871,44943
134,"Jonesboro, AR Metro Area",121215,38977,128344,43649
135,"Joplin, MO Metro Area",174807,40767,176759,45913
136,"Juneau, AK Micro Area",31636,78947,32434,90749
137,"Kalamazoo-Portage, MI Metro Area",326853,45612,335020,51319
138,"Kalispell, MT Micro Area",90967,45545,96147,51410
139,"Kansas City, MO-KS Metro Area",2035166,56826,2088830,61479
140,"Kapaa, HI Micro Area",67113,64752,71093,72330
141,"Kearney, NE Micro Area",52844,51310,55381,54709
142,"Keene, NH Micro Area",77106,56062,76109,60148
143,"Kendallville, IN Micro Area",47547,46360,47421,52393
144,"Kennett, MO Micro Area",31970,30379,30905,32348
145,"Kerrville, TX Micro Area",49469,43849,50761,48698
146,"Ketchikan, AK Micro Area",13525,59736,13745,67321
147,"Key West, FL Micro Area",73475,53418,76745,63030
148,"Kill Devil Hills, NC Micro Area",34019,55780,39502,53625
149,"Kingsport-Bristol-Bristol, TN-VA Metro Area",308899,38925,306745,41558
150,"Kingston, NY Metro Area",182516,58934,180129,61652
151,"Kingsville, TX Micro Area",32376,38040,32104,41539
152,"Kinston, NC Micro Area",59372,34440,57934,37515
