,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
461,"Fairbanks, AK Metro Area",97523,69485,100031,76250
462,"Fairmont, MN Micro Area",20727,46790,20084,53627
463,"Fairmont, WV Micro Area",56460,40827,56575,48158
464,"Fallon, NV Micro Area",24779,54538,24022,46914
465,"Fargo, ND-MN Metro Area",209177,51411,232660,59074
466,"Faribault-Northfield, MN Micro Area",64171,60438,65251,63311
467,"Farmington, MO Micro Area",65246,36716,66248,42873
468,"Farmington, NM Metro Area",128600,48701,128221,49686
469,"Fayetteville, NC Metro Area",366697,45572,385337,44883
470,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",464729,46428,514166,52551
471,"Fergus Falls, MN Micro Area",57381,47579,57790,55181
472,"Fernley, NV Micro Area",51797,46088,52303,50920
473,"Findlay, OH Micro Area",75043,49350,75508,52831
474,"Fitzgerald, GA Micro Area",27258,32586,17272,32344
475,"Flagstaff, AZ Metro Area",134011,48320,138639,53523
476,"Flint, MI Metro Area",425337,42730,410881,45231
477,"Florence, SC Metro Area",205214,40639,206109,40888
478,"Florence-Muscle Shoals, AL Metro Area",146979,40473,147025,45090
479,"Fond du Lac, WI Metro Area",101577,53399,102082,57798
480,"Forest City, NC Micro Area",67446,35941,66523,38573
481,"Forrest City, AR Micro Area",28089,30104,26688,33102
482,"Fort Dodge, IA Micro Area",37895,41751,36945,42148
483,"Fort Leonard Wood, MO Micro Area",51620,47251,53132,51137
484,"Fort Morgan, CO Micro Area",28200,42829,28123,51456
485,"Fort Payne, AL Micro Area",70949,36853,71194,38842
486,"Fort Polk South, LA Micro Area",51542,46260,51906,46620
487,"Fort Smith, AR-OK Metro Area",297576,38652,280705,40686
488,"Fort Wayne, IN Metro Area",416851,50082,429060,51642
489,"Frankfort, IN Micro Area",33179,48321,32455,51659
490,"Frankfort, KY Micro Area",70841,48861,71986,53068
491,"Fredericksburg, TX Micro Area",24777,55017,25939,56267
492,"Freeport, IL Micro Area",47532,44572,45839,46427
493,"Fremont, NE Micro Area",36590,46475,36576,51748
494,"Fremont, OH Micro Area",60842,46785,59559,50370
495,"Fresno, CA Metro Area",930517,45741,971616,48730
496,"Gadsden, AL Metro Area",104317,37660,103132,42064
497,"Gaffney, SC Micro Area",55351,33512,56549,35286
498,"Taylorville, IL Micro Area",34805,44211,33562,50668
499,"Terre Haute, IN Metro Area",172316,42506,170642,44120
500,"The Dalles, OR Micro Area",25113,43601,25687,48510
501,"Thomaston, GA Micro Area",27061,34905,26241,35375
502,"Thomasville, GA Micro Area",44715,31471,44909,41336
503,"Tiffin, OH Micro Area",56630,42375,55549,49153
504,"Tifton, GA Micro Area",40430,37033,40531,38728
505,"Toccoa, GA Micro Area",26003,37535,25625,39756
506,"Toledo, OH Metro Area",651532,45078,605204,48284
507,"Topeka, KS Metro Area",233473,49780,233382,55194
508,"Torrington, CT Micro Area",189277,71345,184454,76438
509,"Traverse City, MI Micro Area",143945,49417,147606,55926
510,"Troy, AL Micro Area",32750,31702,33287,35684
511,"Truckee-Grass Valley, CA Micro Area",98521,57382,98838,60610
512,"Tucson, AZ Metro Area",981048,46443,1007257,48676
513,"Tulsa, OK Metro Area",936717,48338,977869,52210
514,"Tupelo, MS Micro Area",136559,40109,139354,43759
515,"Tuscaloosa, AL Metro Area",219071,41557,239589,48344
516,"Twin Falls, ID Micro Area",99262,42058,105287,48403
517,"Tyler, TX Metro Area",209691,47312,222277,50742
518,"Ukiah, CA Micro Area",87577,43721,87497,46528
519,"Union City, TN-KY Micro Area",38479,39668,36918,36442
520,"Urbana, OH Micro Area",39982,50214,39005,54495
521,"Utica-Rome, NY Metro Area",298811,47949,295267,50814
522,"Uvalde, TX Micro Area",26434,34110,27015,40781
523,"Valdosta, GA Metro Area",139886,37525,143969,38448
524,"Vallejo-Fairfield, CA Metro Area",414209,69006,434981,72950
525,"Valley, AL Micro Area",34228,32181,33895,37342
526,"Van Wert, OH Micro Area",28808,44602,28262,50974
527,"Vermillion, SD Micro Area",13966,38377,13907,41773
528,"Vernal, UT Micro Area",32809,61850,36343,67012
529,"Vernon, TX Micro Area",13451,42271,12972,43913
530,"Vicksburg, MS Micro Area",48419,40876,56616,38506
531,"Victoria, TX Metro Area",115777,48914,99028,55837
532,"Vidalia, GA Micro Area",36324,32102,36122,37279
533,"Vincennes, IN Micro Area",38392,41089,37763,44837
534,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1674571,59293,1717708,61889
535,"Visalia-Porterville, CA Metro Area",441877,43803,458809,44871
536,"Wabash, IN Micro Area",32804,44389,31848,49052
537,"Waco, TX Metro Area",234626,41589,263009,45721
538,"Wahpeton, ND-MN Micro Area",22879,52081,22731,58051
539,"Wapakoneta, OH Micro Area",45934,52267,45778,59516
540,"Warner Robins, GA Metro Area",140699,56265,188764,52997
541,"Warren, PA Micro Area",41613,43108,40345,45781
542,"Warrensburg, MO Micro Area",52964,47960,53941,50689
543,"Warsaw, IN Micro Area",77328,50822,78720,57190
544,"Washington, IN Micro Area",31604,45927,32777,48355
545,"Washington, NC Micro Area",47542,40147,47316,41101
546,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5603696,89826,6090196,97148
547,"Washington Court House, OH Micro Area",28931,38864,28659,44289
548,"Waterloo-Cedar Falls, IA Metro Area",167568,48315,170055,53689
549,"Watertown, SD Micro Area",33159,46933,27963,52025
550,"Watertown-Fort Atkinson, WI Micro Area",83751,54705,84586,59215
551,"Wauchula, FL Micro Area",27347,36115,27326,39063
552,"Wausau, WI Metro Area",134041,53762,135293,56509
553,"Waycross, GA Micro Area",54730,36320,54829,37897
554,"Weatherford, OK Micro Area",27583,43917,29169,48520
555,"West Plains, MO Micro Area",40330,34148,40139,34984
556,"West Point, MS Micro Area",20633,31228,19990,34118
557,"Wheeling, WV-OH Metro Area",147482,41095,143801,45625
558,"Wichita, KS Metro Area",621281,50511,642339,53953
559,"Wichita Falls, TX Metro Area",150681,46838,150940,46558
560,"Williamsport, PA Metro Area",116447,44557,115398,50634
561,"Williston, ND Micro Area",23287,69617,32916,89874
562,"Willmar, MN Micro Area",42150,50156,42577,56604
563,"Wilmington, NC Metro Area",363648,48182,277496,51137
564,"Wilmington, OH Micro Area",42161,46443,41869,49997
565,"Wilson, NC Micro Area",81020,38398,81379,42095
566,"Winchester, VA-WV Metro Area",128518,51815,134712,60350
567,"Winona, MN Micro Area",51481,46900,50992,53975
568,"Winston-Salem, NC Metro Area",478029,45356,658195,47099
569,"Woodward, OK Micro Area",20232,52048,21140,57602
570,"Wooster, OH Micro Area",114644,49241,115915,54037
571,"Worthington, MN Micro Area",21349,47539,21854,53267
572,"Yakima, WA Metro Area",242454,44256,248279,47470
573,"Yankton, SD Micro Area",22434,53589,22660,50029
574,"York-Hanover, PA Metro Area",434579,58747,442216,61707
575,"Youngstown-Warren-Boardman, OH-PA Metro Area",564768,42224,548821,44947
576,"Yuba City, CA Metro Area",166859,49097,170227,53101
577,"Yuma, AZ Metro Area",196420,41156,204281,43253
578,"Zanesville, OH Micro Area",85996,40398,85933,43325
579,"Mount Vernon, IL Micro Area",47338,41757,38358,46109
580,"Mount Vernon, OH Micro Area",60791,49323,60945,51211
581,"Mount Vernon-Anacortes, WA Metro Area",117087,56457,121725,59263
582,"Muncie, IN Metro Area",117459,38215,115938,41208
583,"Murray, KY Micro Area",37198,39037,38616,39269
584,"Muscatine, IA Micro Area",54177,51418,42923,56398
585,"Muskogee, OK Micro Area",70635,37748,69471,41329
586,"Nacogdoches, TX Micro Area",64647,35641,65411,41482
587,"Napa, CA Metro Area",136644,69571,141005,79637
588,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1595454,52779,1830410,59365
589,"Natchez, MS-LA Micro Area",53015,28079,51794,30285
590,"Natchitoches, LA Micro Area",39434,32649,39051,29001
591,"Newberry, SC Micro Area",37432,42005,37914,39600
592,"New Castle, IN Micro Area",49381,40197,48649,46131
593,"New Castle, PA Micro Area",90885,44079,88231,47188
594,"New Haven-Milford, CT Metro Area",860995,62234,862127,64872
595,"New Philadelphia-Dover, OH Micro Area",92532,43869,92531,49460
596,"Newport, TN Micro Area",35631,29764,35262,32027
597,"Newton, IA Micro Area",36823,48746,36789,56363
598,"New Ulm, MN Micro Area",25772,47915,25243,55764
599,"Niles-Benton Harbor, MI Metro Area",156759,43471,154948,47132
600,"Nogales, AZ Micro Area",47057,37692,46358,39630
601,"Norfolk, NE Micro Area",48136,48225,48257,51740
602,"North Platte, NE Micro Area",37284,49088,36920,55832
603,"North Vernon, IN Micro Area",28373,45273,27840,48362
604,"North Wilkesboro, NC Micro Area",69265,32009,68525,37173
605,"Norwalk, OH Micro Area",59628,48335,58497,49710
606,"Norwich-New London, CT Metro Area",273723,68310,270772,69411
607,"Oak Harbor, WA Micro Area",78707,59500,80323,61516
608,"Ocala, FL Metro Area",331987,39770,343778,41964
609,"Ocean City, NJ Metro Area",96987,56370,94549,62332
610,"Odessa, TX Metro Area",138193,50851,155744,59528
611,"Ogden-Clearfield, UT Metro Area",547089,62637,642274,68558
612,"Ogdensburg-Massena, NY Micro Area",112060,43745,110817,48330
613,"Oil City, PA Micro Area",54865,41814,52880,46487
614,"Okeechobee, FL Micro Area",39779,34289,40228,39059
615,"Oklahoma City, OK Metro Area",1256947,49534,1353504,54946
616,"Olean, NY Micro Area",80166,43202,78175,45571
617,"Omaha-Council Bluffs, NE-IA Metro Area",866454,56727,914190,62345
618,"Oneonta, NY Micro Area",62147,46358,60750,51254
619,"Ontario, OR-ID Micro Area",53671,39801,53260,43131
620,"Orangeburg, SC Micro Area",92229,33661,89116,34943
621,"Orlando-Kissimmee-Sanford, FL Metro Area",2147534,49263,2390859,52261
622,"Oshkosh-Neenah, WI Metro Area",166984,51603,169540,55128
623,"Oskaloosa, IA Micro Area",22432,47758,22301,50568
624,"Ottumwa, IA Micro Area",35449,41088,44155,44863
625,"Owatonna, MN Micro Area",36524,58403,36612,58882
626,"Owensboro, KY Metro Area",114853,45185,117319,48217
627,"Owosso, MI Micro Area",70402,47106,68617,50967
628,"Oxford, MS Micro Area",47586,42688,52744,45019
629,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",822794,76483,847834,81972
630,"Paducah, KY-IL Micro Area",98675,43810,97319,42917
631,"Pahrump, NV Micro Area",43801,39150,43296,44225
632,"Palatka, FL Micro Area",74224,34429,72435,33619
633,"Palestine, TX Micro Area",58269,41471,57747,42313
634,"Palm Bay-Melbourne-Titusville, FL Metro Area",544019,49099,568183,51536
635,"Pampa, TX Micro Area",23723,45057,22962,48314
636,"Paragould, AR Micro Area",42224,38481,44197,45566
637,"Paris, TN Micro Area",32271,36593,32263,40415
638,"Paris, TX Micro Area",49740,39630,49401,42198
639,"Parsons, KS Micro Area",21574,40117,20553,45706
640,"Payson, AZ Micro Area",53436,38504,53145,41179
641,"Pecos, TX Micro Area",13606,39577,14791,49390
642,"Pella, IA Micro Area",33388,53684,33127,57917
643,"Pensacola-Ferry Pass-Brent, FL Metro Area",451950,48489,476702,51926
644,"Peoria, IL Metro Area",378886,53925,377258,57301
645,"Peru, IN Micro Area",36850,39816,36035,46666
646,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5967349,61927,6065644,66285
647,"Picayune, MS Micro Area",55886,41940,55049,44734
648,"Pierre, SD Micro Area",20004,58517,21956,60097
649,"Pine Bluff, AR Metro Area",99688,37328,93590,38547
650,"Pittsburg, KS Micro Area",39133,36927,39099,38017
651,"Pittsburgh, PA Metro Area",2357981,50182,2348143,56073
652,"Pittsfield, MA Metro Area",130866,47513,127751,55190
653,"Plainview, TX Micro Area",36153,40521,34527,46012
654,"Platteville, WI Micro Area",51055,46138,51742,50522
655,"Plattsburgh, NY Micro Area",82054,50522,81224,52759
656,"Plymouth, IN Micro Area",47045,47218,46752,51869
657,"Pocatello, ID Metro Area",90301,45476,84113,47390
658,"Point Pleasant, WV-OH Micro Area",58119,38768,57203,40516
659,"Ponca City, OK Micro Area",46288,41026,45173,44067
660,"Ponce, PR Metro Area",242280,17225,316625,16736
661,"Pontiac, IL Micro Area",38903,54339,36812,54339
662,"Poplar Bluff, MO Micro Area",42792,34343,42826,37878
663,"Portales, NM Micro Area",19840,39323,19313,35928
664,"Port Angeles, WA Micro Area",71411,46431,73439,48002
665,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2232607,57896,2382037,66657
666,"Port St. Lucie, FL Metro Area",424743,45874,454482,50045
667,"Portsmouth, OH Micro Area",79122,34783,76871,38978
668,"Pottsville, PA Micro Area",147935,45441,144287,47642
669,"Prescott, AZ Metro Area",211280,43652,220972,48259
670,"Price, UT Micro Area",21153,47240,20512,46994
671,"Prineville, OR Micro Area",21102,40263,21717,41777
672,"Provo-Orem, UT Metro Area",526804,59594,587190,66742
673,"Pueblo, CO Metro Area",159072,41820,163368,42386
674,"Pullman, WA Micro Area",44997,34169,47794,41574
675,"Punta Gorda, FL Metro Area",160380,44596,173236,46511
676,"Quincy, IL-MO Micro Area",77301,45078,76865,48302
677,"Racine, WI Metro Area",195024,54900,195101,58334
678,"Rapid City, SD Metro Area",126696,50210,143711,52683
679,"Raymondville, TX Micro Area",21983,26369,21839,29104
680,"Reading, PA Metro Area",411094,55021,415500,59580
681,"Red Bluff, CA Micro Area",63200,40307,63247,42512
682,"Redding, CA Metro Area",177693,44396,178919,47258
683,"Red Wing, MN Micro Area",46144,55603,46138,62431
684,"Rexburg, ID Micro Area",50434,37470,51130,39506
685,"Richmond, IN Micro Area",68797,39131,66972,41813
686,"Richmond, VA Metro Area",1260202,58577,1270158,63599
687,"Richmond-Berea, KY Micro Area",100264,40000,105191,44778
688,"Riverside-San Bernardino-Ontario, CA Metro Area",4234011,55928,4476222,59173
689,"Riverton, WY Micro Area",40103,48565,40354,55013
690,"Roanoke, VA Metro Area",308238,49264,313069,52609
691,"Roanoke Rapids, NC Micro Area",76652,31351,72726,33558
692,"Rochelle, IL Micro Area",53378,55590,51619,57655
693,"Rochester, MN Metro Area",186214,65145,214485,69003
694,"Rochester, NY Metro Area",1054160,53155,1080653,55256
695,"Rockford, IL Metro Area",348574,49752,341150,52360
696,"Rockingham, NC Micro Area",46608,31726,45447,33607
697,"Rock Springs, WY Micro Area",43890,72139,44527,71083
698,"Rocky Mount, NC Metro Area",151798,40159,148157,41593
699,"Rolla, MO Micro Area",44825,41388,44873,41681
700,"Rome, GA Metro Area",96204,41442,96471,46096
701,"Roseburg, OR Micro Area",107391,40096,107576,44023
702,"Roswell, NM Micro Area",65343,38155,65454,42177
703,"Ruidoso, NM Micro Area",20440,44149,19497,42145
704,"Russellville, AR Micro Area",83886,40060,84973,40351
705,"Ruston, LA Micro Area",62753,36553,47536,34424
706,"Rutland, VT Micro Area",61599,48968,59676,52635
707,"Safford, AZ Micro Area",45707,45769,37700,48173
708,"St. Cloud, MN Metro Area",188867,53355,194660,58335
709,"St. George, UT Metro Area",139484,49145,155577,55175
710,"St. Joseph, MO-KS Metro Area",127176,45717,127137,49568
711,"St. Louis, MO-IL Metro Area",2810367,54109,2804998,59046
712,"St. Marys, GA Micro Area",50435,54155,52252,53687
713,"St. Marys, PA Micro Area",31981,44741,30781,49876
714,"Salem, OR Metro Area",390839,47687,410119,54304
715,"Salina, KS Micro Area",61592,47813,61291,49897
716,"Salinas, CA Metro Area",416199,60143,433168,63249
717,"Salt Lake City, UT Metro Area",1126982,60329,1170057,67838
718,"San Angelo, TX Metro Area",112030,44357,118498,49838
719,"San Antonio-New Braunfels, TX Metro Area",2149153,51208,2377507,56495
720,"Sanford, NC Micro Area",57876,45284,59805,49272
721,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1843860,89940,1969897,105809
722,"Santa Cruz-Watsonville, CA Metro Area",262340,66571,273263,73663
723,"Santa Fe, NM Metro Area",144209,53642,147514,57945
724,"Santa Isabel, PR Micro Area",23261,18024,22475,16816
725,"Sault Ste. Marie, MI Micro Area",38919,41114,38023,44030
726,"Savannah, GA Metro Area",349163,49243,377476,55021
727,"Sayre, PA Micro Area",62628,44650,61546,50900
728,"Scottsbluff, NE Micro Area",37613,42889,38493,48063
729,"Scottsboro, AL Micro Area",53279,37059,52326,39281
730,"Searcy, AR Micro Area",77007,41410,78706,44074
731,"Seattle-Tacoma-Bellevue, WA Metro Area",3453748,67437,3735216,77269
732,"Sebastian-Vero Beach, FL Metro Area",138203,45274,147981,49009
733,"Sedalia, MO Micro Area",42044,38543,42309,43097
734,"Selinsgrove, PA Micro Area",39620,47059,40570,54182
735,"Selma, AL Micro Area",43572,26178,40755,30065
736,"Seneca, SC Micro Area",74038,41854,75926,43978
737,"Seneca Falls, NY Micro Area",35306,49155,34843,51601
738,"Sevierville, TN Micro Area",90218,43300,95523,44473
739,"Seymour, IN Micro Area",42414,45883,43779,49080
740,"Shawnee, OK Micro Area",69676,42467,71614,46159
741,"Sheboygan, WI Metro Area",115377,52967,115094,56114
742,"Shelby, NC Micro Area",97890,38181,97038,40002
743,"Shelbyville, TN Micro Area",45060,39635,46854,47117
744,"Shelton, WA Micro Area",60545,48878,61569,53087
745,"Sheridan, WY Micro Area",29097,52352,29964,56455
746,"Sherman-Denison, TX Metro Area",120641,46587,126146,52683
747,"Show Low, AZ Micro Area",107415,37683,107902,38798
748,"Shreveport-Bossier City, LA Metro Area",399407,43799,443974,42572
749,"Sidney, OH Micro Area",49359,51159,48902,57673
750,"Sikeston, MO Micro Area",39192,38968,38858,41628
751,"Silver City, NM Micro Area",29602,37525,28382,40470
752,"Sioux City, IA-NE-SD Metro Area",143176,47148,168647,54474
753,"Sioux Falls, SD Metro Area",229333,56135,250564,62047
754,"Snyder, TX Micro Area",16855,46340,17346,54565
755,"Somerset, KY Micro Area",63045,32788,63974,35022
756,"Somerset, PA Micro Area",77638,42424,75619,46132
757,"South Bend-Mishawaka, IN-MI Metro Area",319197,45056,320010,48681
758,"Spartanburg, SC Metro Area",284540,43421,325504,46431
759,"Spearfish, SD Micro Area",24063,43733,25018,49275
760,"Spencer, IA Micro Area",16649,46880,16387,48978
761,"Spirit Lake, IA Micro Area",16778,53426,17000,59889
762,"Springfield, IL Metro Area",210202,55588,210550,58956
763,"Springfield, MA Metro Area",694411,52395,630385,55306
764,"Springfield, MO Metro Area",437188,43333,455133,45326
765,"Springfield, OH Metro Area",138278,43684,135520,46275
766,"Starkville, MS Micro Area",47486,29430,49392,37348
767,"State College, PA Metro Area",153758,49706,160646,56466
768,"Statesboro, GA Micro Area",70360,34403,73742,39305
769,"Stephenville, TX Micro Area",38192,40176,41016,47013
770,"Sterling, CO Micro Area",22541,41369,21885,44876
771,"Sterling, IL Micro Area",58400,46193,56823,51969
772,"Stevens Point, WI Micro Area",70027,51422,70371,54620
773,"Stillwater, OK Micro Area",77125,36762,80634,39149
774,"Storm Lake, IA Micro Area",20215,46947,20369,52784
775,"Sturgis, MI Micro Area",61314,44214,60890,47856
776,"Sulphur Springs, TX Micro Area",35088,42257,35929,47832
777,"Summerville, GA Micro Area",25905,32825,24880,35718
778,"Sumter, SC Metro Area",107279,40726,107379,41946
779,"Sunbury, PA Micro Area",94441,40963,93038,44534
780,"Susanville, CA Micro Area",34628,51921,31470,54083
781,"Sweetwater, TX Micro Area",15104,37671,14990,42019
782,"Syracuse, NY Metro Area",661211,52230,659262,56305
783,"Tahlequah, OK Micro Area",47165,35182,48404,39187
784,"Talladega-Sylacauga, AL Micro Area",82194,35209,91843,38591
785,"Tallahassee, FL Metro Area",368342,45027,377674,48618
786,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2793814,46606,2978209,50567
787,"Taos, NM Micro Area",32775,33835,32809,35314
